# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_implicitSolver;n;durationWriteOutput;n;duration_diffusion_1D_ImplicitEuler;n;exit;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;nIterations_implicitSolver;residualNorm_implicitSolver;scenarioName;totalUsertime;~nDofs;~nElements;~nNodes;nIterationsTotal_implicitSolver;
2019/8/20 11:10:09;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;4;1;3.09944e-06;1;0.0524511;1;0;1;0.000286102;1;0.142671;10000;0.0208828;10001;0.234742;10001;normal;none;lu;72056832;4096;43470848;595951616;1;0;strong_scaling_diffusion_lu;0.48;101;100;101;10000;
2019/8/20 11:10:09;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;4;2;3.09944e-06;1;4.00543e-05;1;0;1;0.000286102;1;0.143526;10000;0.0152359;10001;0.233319;10001;normal;none;lu;72056832;4096;44072960;595951616;1;0;strong_scaling_diffusion_lu;0.43;101;100;101;10000;
2019/8/20 11:10:09;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;4;3;3.09944e-06;1;0.0378571;1;0;1;0.000286102;1;0.128243;10000;0.0228164;10001;0.221118;10001;normal;none;lu;72097792;4096;43638784;595992576;1;0;strong_scaling_diffusion_lu;0.41;101;100;101;10000;
# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_implicitSolver;n;durationWriteOutput;n;duration_diffusion_1D_ImplicitEuler;n;exit;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;nIterations_implicitSolver;residualNorm_implicitSolver;scenarioName;totalUsertime;~nDofs;~nElements;~nNodes;nIterationsTotal_implicitSolver;
2019/8/20 11:10:10;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;1;0;1.90735e-06;1;4.05312e-06;1;9.53674e-07;1;8.32081e-05;1;0.0753272;10000;0.009408;10001;0.127097;10001;normal;none;lu;71786496;4096;41938944;440418304;1;0;strong_scaling_diffusion_lu;0.31;101;100;101;10000;
# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_implicitSolver;n;durationWriteOutput;n;duration_diffusion_1D_ImplicitEuler;n;exit;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;nIterations_implicitSolver;residualNorm_implicitSolver;scenarioName;totalUsertime;~nDofs;~nElements;~nNodes;nIterationsTotal_implicitSolver;
2019/8/20 11:10:10;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;2;0;2.14577e-06;1;0.05106;1;0;1;0.000145912;1;0.0707858;10000;0.00844288;10001;0.117846;10001;normal;none;lu;72044544;4096;43622400;587542528;1;0;strong_scaling_diffusion_lu;0.34;101;100;101;10000;
2019/8/20 11:10:10;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;2;1;2.14577e-06;1;1.50204e-05;1;0;1;0.000144958;1;0.0692105;10000;0.0081296;10001;0.112935;10001;normal;none;lu;72077312;4096;43622400;587575296;1;0;strong_scaling_diffusion_lu;0.3;101;100;101;10000;
# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_implicitSolver;n;durationWriteOutput;n;duration_diffusion_1D_ImplicitEuler;n;exit;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;nIterations_implicitSolver;residualNorm_implicitSolver;scenarioName;totalUsertime;~nDofs;~nElements;~nNodes;nIterationsTotal_implicitSolver;
2019/8/20 11:10:11;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;3;0;1.90735e-06;1;1.97887e-05;1;0;1;0.000211954;1;0.0828025;10000;0.00931716;10001;0.139142;10001;normal;none;lu;72069120;4096;43700224;591765504;1;0;strong_scaling_diffusion_lu;0.33;101;100;101;10000;
2019/8/20 11:10:11;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;3;1;2.14577e-06;1;0.045449;1;9.53674e-07;1;0.000219107;1;0.12091;10000;0.0128529;10001;0.200117;10001;normal;none;lu;72048640;4096;43839488;591745024;1;0;strong_scaling_diffusion_lu;0.4;101;100;101;10000;
2019/8/20 11:10:11;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;3;2;2.14577e-06;1;0.048949;1;9.53674e-07;1;0.000213146;1;0.118755;10000;0.0128453;10001;0.196197;10001;normal;none;lu;72028160;4096;43565056;591724544;1;0;strong_scaling_diffusion_lu;0.45;101;100;101;10000;
# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_implicitSolver;n;durationWriteOutput;n;duration_diffusion_1D_ImplicitEuler;n;exit;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;nIterations_implicitSolver;residualNorm_implicitSolver;scenarioName;totalUsertime;~nDofs;~nElements;~nNodes;nIterationsTotal_implicitSolver;
2019/8/20 11:10:11;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;4;0;3.09944e-06;1;0.0496161;1;0;1;0.000288963;1;0.11639;10000;0.0231657;10001;0.200772;10001;normal;none;lu;72073216;4096;43683840;595968000;1;0;strong_scaling_diffusion_lu;0.49;101;100;101;10000;
2019/8/20 11:10:11;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;4;1;3.09944e-06;1;0.0190089;1;0;1;0.000288963;1;0.138216;10000;0.018543;10001;0.23488;10001;normal;none;lu;72056832;4096;43659264;595951616;1;0;strong_scaling_diffusion_lu;0.43;101;100;101;10000;
2019/8/20 11:10:11;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;4;2;3.09944e-06;1;0.00997305;1;0;1;0.000288963;1;0.14964;10000;0.0129375;10001;0.252108;10001;normal;none;lu;72114176;4096;43786240;596008960;1;0;strong_scaling_diffusion_lu;0.48;101;100;101;10000;
2019/8/20 11:10:11;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;4;3;3.09944e-06;1;2.28882e-05;1;0;1;0.000288963;1;0.130536;10000;0.0128736;10001;0.224938;10001;normal;none;lu;72040448;4096;43778048;595935232;1;0;strong_scaling_diffusion_lu;0.44;101;100;101;10000;
# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_implicitSolver;n;durationWriteOutput;n;duration_diffusion_1D_ImplicitEuler;n;exit;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;nIterations_implicitSolver;residualNorm_implicitSolver;scenarioName;totalUsertime;~nDofs;~nElements;~nNodes;nIterationsTotal_implicitSolver;
2019/8/20 11:10:12;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;1;0;9.53674e-07;1;3.8147e-06;1;0;1;8.2016e-05;1;0.0762587;10000;0.00971985;10001;0.129963;10001;normal;none;lu;71786496;4096;41738240;440418304;1;0;strong_scaling_diffusion_lu;0.33;101;100;101;10000;
# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_implicitSolver;n;durationWriteOutput;n;duration_diffusion_1D_ImplicitEuler;n;exit;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;nIterations_implicitSolver;residualNorm_implicitSolver;scenarioName;totalUsertime;~nDofs;~nElements;~nNodes;nIterationsTotal_implicitSolver;
2019/8/20 11:10:12;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;2;0;3.09944e-06;1;0.0278621;1;0;1;0.000189066;1;0.073483;10000;0.0115898;10001;0.122993;10001;normal;none;lu;72044544;4096;43335680;587542528;1;0;strong_scaling_diffusion_lu;0.33;101;100;101;10000;
2019/8/20 11:10:12;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;2;1;1.90735e-06;1;8.98838e-05;1;0;1;0.00018692;1;0.0689514;10000;0.0115089;10001;0.112971;10001;normal;none;lu;72077312;4096;43630592;587575296;1;0;strong_scaling_diffusion_lu;0.31;101;100;101;10000;
# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_implicitSolver;n;durationWriteOutput;n;duration_diffusion_1D_ImplicitEuler;n;exit;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;nIterations_implicitSolver;residualNorm_implicitSolver;scenarioName;totalUsertime;~nDofs;~nElements;~nNodes;nIterationsTotal_implicitSolver;
2019/8/20 11:10:13;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;3;0;1.90735e-06;1;2.19345e-05;1;0;1;0.000253916;1;0.120533;10000;0.0131655;10001;0.201413;10001;normal;none;lu;72065024;4096;43819008;591761408;1;0;strong_scaling_diffusion_lu;0.45;101;100;101;10000;
2019/8/20 11:10:13;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;3;1;1.90735e-06;1;0.065804;1;0;1;0.000257015;1;0.115576;10000;0.0129325;10001;0.189646;10001;normal;none;lu;72048640;4096;43896832;591745024;1;0;strong_scaling_diffusion_lu;0.47;101;100;101;10000;
2019/8/20 11:10:13;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;3;2;2.14577e-06;1;0.054255;1;0;1;0.000252008;1;0.0805926;10000;0.00925112;10001;0.132132;10001;normal;none;lu;72085504;4096;43839488;591781888;1;0;strong_scaling_diffusion_lu;0.39;101;100;101;10000;
# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_implicitSolver;n;durationWriteOutput;n;duration_diffusion_1D_ImplicitEuler;n;exit;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;nIterations_implicitSolver;residualNorm_implicitSolver;scenarioName;totalUsertime;~nDofs;~nElements;~nNodes;nIterationsTotal_implicitSolver;
2019/8/20 11:10:13;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;4;0;2.86102e-06;1;0.0176139;1;0;1;0.000295877;1;0.148318;10000;0.0137534;10001;0.272183;10001;normal;none;lu;72073216;4096;43810816;595968000;1;0;strong_scaling_diffusion_lu;0.44;101;100;101;10000;
2019/8/20 11:10:13;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;4;1;1.90735e-06;1;0.0171831;1;0;1;0.000295877;1;0.137408;10000;0.0158803;10001;0.229244;10001;normal;none;lu;72114176;4096;43581440;596008960;1;0;strong_scaling_diffusion_lu;0.48;101;100;101;10000;
2019/8/20 11:10:13;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;4;2;1.90735e-06;1;0.0396101;1;0;1;0.000295877;1;0.158979;10000;0.0217721;10001;0.244925;10001;normal;none;lu;72114176;4096;43745280;596008960;1;0;strong_scaling_diffusion_lu;0.49;101;100;101;10000;
2019/8/20 11:10:13;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;4;3;2.86102e-06;1;3.19481e-05;1;0;1;0.000295877;1;0.118254;10000;0.0141921;10001;0.199642;10001;normal;none;lu;72040448;4096;43610112;595935232;1;0;strong_scaling_diffusion_lu;0.42;101;100;101;10000;
# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_implicitSolver;n;durationWriteOutput;n;duration_diffusion_1D_ImplicitEuler;n;exit;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;nIterations_implicitSolver;residualNorm_implicitSolver;scenarioName;totalUsertime;~nDofs;~nElements;~nNodes;nIterationsTotal_implicitSolver;
2019/8/20 11:10:14;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;1;0;1.90735e-06;1;5.00679e-06;1;0;1;8.60691e-05;1;0.0739698;10000;0.00989056;10001;0.123568;10001;normal;none;lu;71786496;4096;41648128;440418304;1;0;strong_scaling_diffusion_lu;0.33;101;100;101;10000;
# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_implicitSolver;n;durationWriteOutput;n;duration_diffusion_1D_ImplicitEuler;n;exit;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;nIterations_implicitSolver;residualNorm_implicitSolver;scenarioName;totalUsertime;~nDofs;~nElements;~nNodes;nIterationsTotal_implicitSolver;
